-0.52502	14.95502	-0.52568	4.73913	-0.52613	5.92940	-0.52578	6.61809	-0.52576	7.37282
-0.51570	9.69827	-0.51577	6.28367	-0.51601	6.28469	-0.51568	6.87469	-0.51568	5.20784
-0.50605	9.62988	-0.50580	6.10870	-0.50586	6.05033	-0.50577	6.70462	-0.50626	5.15340
-0.49622	9.58954	-0.49581	5.87311	-0.49670	5.84970	-0.49574	6.55273	-0.49589	4.98327
-0.48565	9.59368	-0.48574	5.68216	-0.48572	5.76428	-0.48561	6.39957	-0.48565	4.89699
-0.47625	9.51439	-0.47601	5.51890	-0.47543	5.54764	-0.47601	6.23155	-0.47584	4.84767
-0.46549	9.47345	-0.46578	5.39481	-0.46587	5.44538	-0.46570	6.13938	-0.46635	4.81990
-0.45583	9.40312	-0.45568	5.30804	-0.45559	5.40321	-0.45579	6.03114	-0.45508	4.75776
-0.44564	9.42091	-0.44580	5.18675	-0.44536	5.28099	-0.44563	5.93410	-0.44583	4.77136
-0.43572	9.33465	-0.43557	5.14804	-0.43579	5.23588	-0.43552	5.85564	-0.43578	4.74639
-0.42582	9.36147	-0.42566	5.12674	-0.42569	5.13641	-0.42567	5.85111	-0.42600	4.74000
-0.41572	9.28834	-0.41570	5.01720	-0.41585	5.09060	-0.41569	5.72610	-0.41558	4.70529
-0.40576	9.27434	-0.40579	5.01678	-0.40568	5.11084	-0.40504	5.70305	-0.40547	4.75805
-0.39595	9.32130	-0.39571	5.04685	-0.39509	5.03436	-0.39546	5.66749	-0.39567	4.73728
-0.38575	9.36469	-0.38565	5.02865	-0.38563	5.08984	-0.38565	5.61289	-0.38617	4.73007
-0.37557	9.37248	-0.37565	5.07113	-0.37569	5.01613	-0.37569	5.59599	-0.37578	4.76784
-0.36632	9.44570	-0.36580	5.07029	-0.36524	5.02683	-0.36559	5.60715	-0.36555	4.79720
-0.35569	9.43287	-0.35576	5.13554	-0.35567	5.06315	-0.35609	5.50881	-0.35565	4.84784
-0.34515	9.46806	-0.34573	5.18499	-0.34573	5.05272	-0.34538	5.53300	-0.34594	4.89369
-0.33554	9.61052	-0.33571	5.21845	-0.33548	5.01281	-0.33580	5.47994	-0.33546	4.90478
-0.32578	9.64838	-0.32577	5.33188	-0.32571	5.05023	-0.32562	5.45539	-0.32592	4.95390
-0.31570	9.73724	-0.31581	5.38337	-0.31575	5.13691	-0.31584	5.49673	-0.31569	5.00662
-0.30560	9.78959	-0.30574	5.42307	-0.30574	5.13896	-0.30564	5.52147	-0.30578	5.04932
-0.29564	9.90609	-0.29583	5.53542	-0.29639	5.18184	-0.29580	5.58445	-0.29593	5.12495
-0.28494	9.98860	-0.28572	5.55155	-0.28570	5.27284	-0.28577	5.51469	-0.28616	5.19652
-0.27527	10.10453	-0.27563	5.65110	-0.27574	5.28744	-0.27559	5.62500	-0.27555	5.29967
-0.26567	10.18915	-0.26564	5.76752	-0.26587	5.40850	-0.26570	5.66001	-0.26582	5.36045
-0.25573	10.30225	-0.25569	5.87438	-0.25561	5.46757	-0.25628	5.68365	-0.25545	5.44364
-0.24577	10.36516	-0.24542	5.96043	-0.24566	5.54201	-0.24567	5.78658	-0.24577	5.56475
-0.23569	10.52642	-0.23593	6.12033	-0.23544	5.71967	-0.23579	5.86941	-0.23559	5.65251
-0.22584	10.61009	-0.22526	6.24712	-0.22568	5.79750	-0.22578	5.97868	-0.22565	5.81249
-0.21554	10.67646	-0.21518	6.36608	-0.21577	5.89742	-0.21627	6.12953	-0.21504	5.91741
-0.20562	10.85028	-0.20503	6.49824	-0.20575	6.11508	-0.20559	6.25819	-0.20627	6.04978
-0.19554	10.99259	-0.19603	6.68806	-0.19541	6.27204	-0.19578	6.35958	-0.19558	6.22492
-0.18579	11.06859	-0.18635	6.85569	-0.18551	6.35070	-0.18561	6.53554	-0.18564	6.39368
-0.17583	11.14724	-0.17547	6.93866	-0.17568	6.56267	-0.17660	6.65031	-0.17559	6.62559
-0.16576	11.27510	-0.16593	7.14591	-0.16571	6.69384	-0.16567	6.83055	-0.16568	6.81829
-0.15575	11.31336	-0.15585	7.28719	-0.15569	6.89926	-0.15583	7.03987	-0.15630	6.99815
-0.14600	11.44941	-0.14526	7.50151	-0.14580	7.07522	-0.14511	7.30094	-0.14545	7.25483
-0.13555	11.52252	-0.13613	7.67294	-0.13529	7.24439	-0.13671	7.49678	-0.13578	7.47811
-0.12552	11.61700	-0.12511	7.85675	-0.12580	7.50827	-0.12587	7.73408	-0.12561	7.68154
-0.11589	11.79665	-0.11559	8.03499	-0.11570	7.67313	-0.11586	7.90237	-0.11579	7.88810
-0.10571	11.85584	-0.10556	8.21499	-0.10529	7.90008	-0.10478	8.11972	-0.10553	8.09787
-0.09569	11.91748	-0.09648	8.37291	-0.09568	8.08276	-0.09574	8.33564	-0.09565	8.41635
-0.08562	12.00131	-0.08631	8.54829	-0.08546	8.27452	-0.08564	8.60757	-0.08561	8.64999
-0.07587	12.09688	-0.07619	8.74470	-0.07526	8.45547	-0.07563	8.82237	-0.07489	8.99546
-0.06523	12.20159	-0.06525	8.91499	-0.06571	8.67493	-0.06501	9.05807	-0.06553	9.23308
-0.05555	12.30064	-0.05509	9.10138	-0.05562	8.89712	-0.05586	9.32440	-0.05578	9.60858
-0.04569	12.36154	-0.04537	9.29673	-0.04543	9.13465	-0.04559	9.55127	-0.04547	9.77931
-0.03558	12.47743	-0.03523	9.47514	-0.03567	9.34950	-0.03486	9.73683	-0.03561	10.21514
-0.02583	12.61803	-0.02614	9.62512	-0.02564	9.50879	-0.02573	9.96515	-0.02567	10.55688
-0.01555	12.66647	-0.01528	9.76551	-0.01588	9.68656	-0.01576	10.28549	-0.01558	10.83724
-0.00610	12.79583	-0.00604	9.97211	-0.00594	9.88334	-0.00604	10.49395	-0.00646	11.11554
0.00434	12.86572	0.00398	10.15730	0.00432	10.11615	0.00447	10.74153	0.00437	11.43008
0.01417	12.93234	0.01437	10.28628	0.01408	10.33658	0.01426	10.98725	0.01446	11.65211
0.02430	13.00714	0.02413	10.53494	0.02441	10.54916	0.02492	11.19540	0.02436	11.87800
0.03458	13.10899	0.03423	10.69878	0.03430	10.78354	0.03428	11.50675	0.03449	12.08056
0.04408	13.19842	0.04421	10.88948	0.04438	10.98280	0.04429	11.86146	0.04435	12.61815
0.05452	13.29669	0.05421	11.13160	0.05452	11.21613	0.05442	12.13655	0.05437	12.97829
0.06506	13.40250	0.06431	11.35899	0.06440	11.50262	0.06473	12.48501	0.06425	13.33305
0.07431	13.53575	0.07435	11.54865	0.07426	11.73571	0.07434	12.73883	0.07439	13.74828
0.08446	13.58796	0.08426	11.79980	0.08384	12.00165	0.08456	13.06327	0.08457	14.04982
